# Fundamental Physical Constants --- Complete Listing			
#			
# From:  http://physics.nist.gov/constants			
# Quantity	Value	Uncertainty	Unit
{220} lattice spacing of silicon	1.92015571400E-10	3.20E-18	m
alpha particle-electron mass ratio	7.29429954136E+03	0.00000024	
alpha particle mass	6.64465723000E-27	8.20E-35	kg
alpha particle mass energy equivalent	5.97192009700E-10	7.30E-18	J
alpha particle mass energy equivalent in MeV	3.72737937800E+03	0.000023	MeV
alpha particle mass in u	4.00150617913E+00	6.3E-11	u
alpha particle molar mass	4.00150617913E-03	6.30E-14	kg mol^-1
alpha particle-proton mass ratio	3.97259968907E+00	3.6E-10	
Angstrom star	1.00001495000E-10	9.00E-17	m
atomic mass constant	1.66053904000E-27	2.00E-35	kg
atomic mass constant energy equivalent	1.49241806200E-10	1.80E-18	J
atomic mass constant energy equivalent in MeV	9.31494095400E+02	0.0000057	MeV
atomic mass unit-electron volt relationship	9.31494095400E+08	5.70E+00	eV
atomic mass unit-hartree relationship	3.42317769020E+07	1.60E-02	E_h
atomic mass unit-hertz relationship	2.25234272060E+23	1.00E+14	Hz
atomic mass unit-inverse meter relationship	7.51300661660E+14	3.40E+05	m^-1
atomic mass unit-joule relationship	1.49241806200E-10	1.80E-18	J
atomic mass unit-kelvin relationship	1.08095438000E+13	6.20E+06	K
atomic mass unit-kilogram relationship	1.66053904000E-27	2.00E-35	kg
atomic unit of 1st hyperpolarizability	3.20636132900E-53	2.00E-61	C^3 m^3 J^-2
atomic unit of 2nd hyperpolarizability	6.23538008500E-65	7.70E-73	C^4 m^4 J^-3
atomic unit of action	1.05457180000E-34	1.30E-42	J s
atomic unit of charge	1.60217662080E-19	9.80E-28	C
atomic unit of charge density	1.08120237700E+12	6.70E+03	C m^-3
atomic unit of current	6.62361818300E-03	4.10E-11	A
atomic unit of electric dipole mom.	8.47835355200E-30	5.20E-38	C m
atomic unit of electric field	5.14220670700E+11	3.20E+03	V m^-1
atomic unit of electric field gradient	9.71736235600E+21	6.00E+13	V m^-2
atomic unit of electric polarizability	1.64877727310E-41	1.10E-50	C^2 m^2 J^-1
atomic unit of electric potential	2.72113860200E+01	0.00000017	V
atomic unit of electric quadrupole mom.	4.48655148400E-40	2.80E-48	C m^2
atomic unit of energy	4.35974465000E-18	5.40E-26	J
atomic unit of force	8.23872336000E-08	1.00E-15	N
atomic unit of length	5.29177210670E-11	1.20E-20	m
